group: dnn
method: PUCN
hdr_dir: /mnt/data_disk/HDRData/1000hdr/HDRtest
ldr_dir: /mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN
selection: last 400 references after filename sort
first_reference: a2808-20080516_072208__MG_0018.exr
last_reference: a4487-Duggan_090322_5971.exr
num_expected: 400
num_valid: 400
num_missing: 0
num_errors: 0
num_duplicate_output_ids: 0
mean_tmqi_q: 0.855931
mean_tmqi_s: 0.817083
mean_tmqi_n: 0.430337
mean_tmqi2_q: 0.576300
mean_tmqi2_s: 0.787129
mean_tmqi2_n: 0.365470
mean_nlpd: 0.177862
